Period,Alaska Air Group Inc Price % Change,American Airlines Group Inc Price % Change,Delta Air Lines Inc Price % Change,JetBlue Airways Corp Price % Change,Southwest Airlines Co Price % Change,United Airlines Holdings Inc Price % Change
53:40.6,-3.51462,-2.8405,-2.80027,-2.47652,-1.61519,-1.98208
52:50.7,-3.43766,-2.54916,-2.69906,-2.30572,-1.50184,-1.76487
52:04.7,-3.38635,-2.4035,-2.5641,-2.39112,-1.41683,-1.5205
51:15.9,-3.30939,-2.4035,-2.5641,-2.13493,-1.44517,-1.62911
50:26.7,-3.05285,-2.25783,-2.39541,-2.04953,-1.30349,-1.49335
49:40.5,-3.10416,-2.33066,-2.46289,-2.22032,-1.24681,-1.68341
48:53.3,-3.33504,-2.33066,-2.39541,-2.22032,-1.27515,-1.60195
48:04.5,-3.15546,-2.185,-2.32794,-2.22032,-1.27515,-1.5748
47:17.0,-3.38635,-2.25783,-2.39541,-2.39112,-1.3885,-1.71056
46:31.8,-3.38635,-2.69483,-2.59784,-2.56191,-1.44517,-1.92778
45:41.3,-3.38635,-2.69483,-2.59784,-2.56191,-1.41683,-1.98208
44:51.9,-3.56593,-2.8405,-2.69906,-2.64731,-1.53018,-2.22645
44:05.6,-3.46331,-2.8405,-2.63158,-2.64731,-1.44517,-2.09069
43:17.9,-3.51462,-2.8405,-2.69906,-2.56191,-1.3885,-2.06354
42:30.2,-3.46331,-2.69483,-2.53036,-2.56191,-1.24681,-1.90062
41:43.4,-3.3607,-2.69483,-2.59784,-2.56191,-1.3885,-2.03638
40:56.6,-3.3607,-2.54916,-2.5641,-2.39112,-1.44517,-1.92778
40:08.2,-3.3607,-2.33066,-2.39541,-2.22032,-1.30349,-1.71056
39:18.4,-3.02719,-2.25783,-2.32794,-2.04953,-1.24681,-1.71056
38:33.0,-3.02719,-2.25783,-2.32794,-2.04953,-1.24681,-1.71056
37:44.3,-3.02719,-2.03933,-2.19298,-1.96413,-0.99178,-1.49335
36:53.8,-3.18112,-2.33066,-2.32794,-2.13493,-0.99178,-1.71056
36:07.7,-3.18112,-2.33066,-2.32794,-2.13493,-0.99178,-1.71056
35:21.4,-2.92458,-2.25783,-2.36167,-2.13493,-0.96345,-1.62911
34:32.5,-2.77065,-1.748,-2.02429,-1.87874,-0.62341,-1.05892
33:43.4,-2.89892,-1.9665,-2.12551,-2.04953,-0.76509,-1.22183
32:57.6,-2.89892,-1.9665,-2.12551,-2.04953,-0.76509,-1.22183
32:08.3,-2.82196,-1.89366,-2.15924,-1.96413,-0.68008,-1.35759
31:17.4,-2.66803,-1.38383,-1.8556,-1.79334,-0.62341,-0.84171
30:31.4,-2.79631,-1.38383,-1.92308,-1.96413,-0.93511,-0.95031
29:44.3,-2.89892,-1.82083,-2.09177,-2.22032,-1.24681,-1.19468
28:55.6,-2.89892,-1.82083,-2.09177,-2.22032,-1.24681,-1.19468
28:08.3,-3.00154,-1.67516,-2.05803,-2.22032,-1.21848,-1.41189
27:23.0,-3.12981,-2.11216,-2.22672,-2.30572,-1.30349,-1.68341
26:34.4,-3.00154,-1.82083,-2.02429,-2.04953,-1.10513,-1.4662
25:45.8,-3.05285,-1.748,-2.02429,-2.04953,-0.99178,-1.33044
25:00.3,-3.05285,-1.748,-2.02429,-2.04953,-0.99178,-1.33044
24:13.0,-3.3607,-2.25783,-2.22672,-2.47652,-1.13347,-1.68341
23:25.8,-3.3607,-2.25783,-2.22672,-2.47652,-1.13347,-1.68341
22:36.8,-3.71986,-2.622,-2.53036,-2.73271,-1.47351,-2.11784
21:50.8,-3.71986,-2.622,-2.53036,-2.73271,-1.44517,-2.03638
21:02.5,-3.79682,-2.54916,-2.46289,-2.64731,-1.36016,-1.95493
20:14.4,-3.6942,-2.76766,-2.46289,-2.56191,-1.44517,-2.06354
19:28.3,-3.66855,-2.47633,-2.42915,-2.47652,-1.53018,-1.90062
18:39.4,-3.82247,-2.76766,-2.59784,-2.73271,-1.55852,-2.03638
17:49.5,-3.82247,-2.76766,-2.59784,-2.73271,-1.55852,-2.03638
17:01.6,-4.23294,-3.27749,-2.90148,-2.9889,-1.84188,-2.2536
16:15.8,-4.23294,-3.56883,-3.17139,-3.15969,-1.87022,-2.66087
15:27.2,-4.15598,-3.64166,-3.20513,-3.15969,-1.89855,-2.82378
14:41.7,-4.15598,-3.64166,-3.20513,-3.15969,-1.89855,-2.82378
13:53.7,-4.15598,-3.20466,-3.10391,-2.9889,-1.95523,-2.47081
13:05.7,-4.20729,-3.27749,-3.13765,-3.0743,-2.0119,-2.49796
12:16.8,-4.20729,-3.20466,-3.07018,-2.9889,-1.92689,-2.52512
11:31.3,-4.15598,-3.42316,-3.20513,-2.9889,-1.98356,-2.79663
10:45.5,-4.69472,-3.27749,-3.20513,-3.0743,-1.89855,-2.68803
09:59.0,-4.69472,-3.27749,-3.20513,-3.0743,-1.89855,-2.68803
09:08.4,-4.64341,-3.64166,-3.40756,-3.33049,-2.21026,-3.14961
08:21.2,-4.64341,-3.64166,-3.40756,-3.33049,-2.21026,-3.14961
07:33.6,-4.51514,-3.49599,-3.34008,-3.24509,-2.15358,-3.01385
06:44.8,-4.51514,-3.49599,-3.34008,-3.24509,-2.15358,-3.01385
05:55.8,-4.48948,-3.27749,-3.34008,-3.24509,-2.06857,-2.85094
05:07.8,-4.5921,-3.64166,-3.60999,-3.24509,-2.26693,-3.25821
04:19.9,-4.46383,-3.64166,-3.4413,-3.33049,-2.23859,-3.14961
03:29.1,-4.46383,-3.64166,-3.50877,-3.33049,-2.18192,-3.0953
02:37.6,-4.61775,-3.78733,-3.57625,-3.41588,-2.29527,-3.31252
01:49.8,-4.48948,-3.49599,-3.40756,-3.33049,-2.12525,-2.95954
00:59.5,-4.79733,-3.78733,-3.60999,-3.41588,-2.38028,-3.33967
00:10.3,-4.72037,-3.93299,-3.60999,-3.58668,-2.35194,-3.17676
59:22.4,-4.9256,-4.15149,-3.84615,-3.75747,-2.52196,-3.63834
58:34.9,-4.95126,-4.29716,-3.91363,-3.84287,-2.52196,-3.63834
57:44.9,-5.13084,-4.07866,-3.81242,-3.84287,-2.38028,-3.50258
56:55.0,-5.13084,-4.29716,-3.94737,-3.92827,-2.49362,-3.74695
56:08.0,-4.87429,-4.15149,-3.77868,-3.84287,-2.3236,-3.61119
55:20.5,-4.66906,-4.00583,-3.7112,-3.92827,-2.12525,-3.39397
54:31.0,-5.25911,-4.22433,-3.91363,-3.92827,-2.35194,-3.7741
53:41.6,-5.25911,-4.15149,-3.81242,-3.84287,-2.35194,-3.52973
52:54.9,-5.25911,-4.51566,-4.11606,-4.09906,-2.60697,-3.93701
52:05.9,-4.97691,-4.36999,-3.98111,-3.92827,-2.46529,-3.71979
51:16.7,-4.95126,-4.36999,-3.84615,-3.84287,-2.40861,-3.66549
50:29.8,-5.10518,-4.15149,-3.7112,-3.84287,-2.3236,-3.44828
49:45.2,-5.10518,-4.36999,-3.87989,-4.01366,-2.49362,-3.69264
48:57.3,-5.10518,-4.29716,-3.91363,-4.09906,-2.52196,-3.74695
48:10.0,-5.07953,-4.51566,-4.08232,-4.26985,-2.57863,-3.90986
47:23.6,-4.95126,-4.36999,-3.91363,-4.01366,-2.5503,-3.61119
46:35.7,-4.56644,-3.93299,-3.57625,-3.67208,-2.18192,-2.9867
45:50.9,-4.56644,-3.93299,-3.57625,-3.67208,-2.18192,-2.9867
45:06.3,-4.97691,-4.15149,-3.81242,-3.84287,-2.40861,-3.55688
44:19.2,-4.97691,-4.44283,-3.98111,-4.01366,-2.46529,-3.61119
43:32.3,-4.97691,-4.44283,-4.04858,-3.84287,-2.49362,-3.74695
42:46.6,-4.97691,-4.44283,-4.01484,-3.84287,-2.35194,-3.80125
42:01.6,-5.00257,-4.58849,-4.1498,-3.92827,-2.49362,-3.96416
41:15.6,-5.00257,-4.58849,-4.1498,-3.92827,-2.49362,-3.96416
40:29.2,-4.87429,-4.66133,-4.21727,-4.01366,-2.52196,-4.01846
39:44.2,-4.79733,-4.66133,-4.08232,-3.84287,-2.52196,-4.09992
38:56.7,-4.66906,-4.29716,-3.94737,-3.92827,-2.5503,-3.85555
38:10.6,-4.48948,-4.00583,-3.77868,-4.01366,-2.40861,-3.66549
37:24.7,-4.48948,-4.07866,-3.84615,-3.84287,-2.43695,-3.63834
36:39.2,-4.5921,-4.66133,-3.98111,-4.09906,-2.66364,-3.8827
35:52.2,-4.25859,-4.15149,-3.64372,-3.75747,-2.52196,-3.33967
35:09.5,-3.89944,-3.27749,-3.20513,-3.41588,-2.26693,-2.90524
34:24.4,-4.05336,-3.78733,-3.54251,-3.75747,-2.52196,-3.25821
33:38.0,-3.30939,-3.64166,-3.34008,-3.15969,-2.23859,-2.93239
32:51.1,-3.9764,-3.56883,-3.40756,-3.33049,-2.09691,-2.76948
32:06.5,-3.9764,-3.20466,-3.67746,-3.50128,-2.04024,-2.52512
31:19.2,-4.56644,-3.49599,-3.91363,-4.52605,-2.12525,-3.28537
30:36.5,-3.9764,-4.51566,-4.01484,-3.75747,-2.21026,-3.8827
8/13/2020 16:00,,,,,,
8/13/2020 16:00,-3.05285,-3.13183,-3.17139,-3.15969,-1.64353,-2.76948
59:18.5,-3.15546,-3.27749,-3.2726,-3.15969,-1.61519,-2.82378
58:24.7,-3.12981,-3.20466,-3.23887,-3.15969,-1.55852,-2.82378
57:32.0,-3.18112,-3.27749,-3.23887,-3.15969,-1.58685,-2.79663
56:44.6,-3.20677,-3.27749,-3.37382,-3.33049,-1.64353,-2.90524
55:54.2,-3.20677,-3.27749,-3.37382,-3.33049,-1.61519,-2.93239
55:01.4,-3.20677,-3.27749,-3.2726,-3.33049,-1.58685,-2.79663
54:08.3,-3.23243,-3.35033,-3.40756,-3.41588,-1.58685,-2.95954
53:18.3,-3.20677,-3.35033,-3.37382,-3.41588,-1.55852,-3.01385
52:30.1,-3.10416,-3.27749,-3.2726,-3.15969,-1.53018,-2.87809
51:36.8,-3.02719,-3.20466,-3.2726,-3.15969,-1.50184,-2.85094
50:43.5,-3.18112,-3.27749,-3.30634,-3.24509,-1.58685,-2.93239
49:53.3,-3.20677,-3.13183,-3.30634,-3.15969,-1.61519,-2.87809
49:02.4,-3.23243,-3.20466,-3.34008,-3.15969,-1.64353,-2.87809
48:10.8,-3.25808,-3.27749,-3.34008,-3.24509,-1.67186,-2.87809
47:17.5,-3.23243,-3.27749,-3.37382,-3.15969,-1.61519,-2.90524
46:27.2,-3.18112,-3.20466,-3.37382,-3.15969,-1.64353,-2.90524
45:37.0,-3.10416,-3.20466,-3.34008,-3.0743,-1.61519,-2.87809
44:44.5,-3.10416,-3.05899,-3.2726,-3.0743,-1.53018,-2.82378
43:52.4,-3.0785,-2.98616,-3.30634,-2.9889,-1.53018,-2.79663
43:04.7,-3.0785,-2.98616,-3.30634,-2.9889,-1.53018,-2.79663
42:13.6,-3.05285,-2.98616,-3.2726,-2.9889,-1.53018,-2.79663
41:20.7,-3.05285,-2.98616,-3.30634,-3.0743,-1.55852,-2.85094
40:26.8,-2.89892,-3.05899,-3.40756,-3.0743,-1.58685,-2.95954
39:36.6,-2.89892,-2.98616,-3.2726,-2.9035,-1.53018,-2.82378
38:48.5,-2.82196,-3.05899,-3.20513,-2.8181,-1.44517,-2.76948
37:55.1,-2.69369,-2.98616,-3.17139,-2.8181,-1.44517,-2.79663
37:01.6,-2.69369,-2.98616,-3.13765,-2.8181,-1.3885,-2.71518
36:11.3,-2.71934,-2.91333,-3.10391,-2.8181,-1.27515,-2.68803
35:20.5,-2.71934,-2.98616,-3.10391,-2.8181,-1.30349,-2.76948
34:27.7,-2.71934,-2.98616,-3.17139,-2.8181,-1.33182,-2.85094
33:35.9,-2.71934,-3.05899,-3.17139,-2.8181,-1.33182,-2.85094
32:45.5,-2.69369,-2.98616,-3.17139,-2.8181,-1.33182,-2.76948
31:55.1,-2.745,-2.98616,-3.17139,-2.8181,-1.33182,-2.76948
31:02.3,-2.77065,-3.13183,-3.30634,-2.9889,-1.44517,-2.95954
30:05.0,-2.745,-2.98616,-3.20513,-2.9035,-1.33182,-2.71518
29:18.4,-2.79631,-2.98616,-3.23887,-2.9035,-1.44517,-2.79663
28:28.6,-2.69369,-2.98616,-3.20513,-2.9035,-1.41683,-2.76948
27:34.9,-2.56542,-2.91333,-3.13765,-2.8181,-1.33182,-2.74233
26:41.2,-2.53976,-2.69483,-2.93522,-2.64731,-1.24681,-2.38936
25:53.2,-2.53976,-2.69483,-2.93522,-2.64731,-1.24681,-2.38936
25:01.9,-2.53976,-2.69483,-2.90148,-2.64731,-1.24681,-2.3622
24:08.7,-2.61673,-2.69483,-2.93522,-2.64731,-1.24681,-2.3622
23:14.5,-2.64238,-2.76766,-3.03644,-2.8181,-1.33182,-2.49796
22:24.3,-2.64238,-2.76766,-3.03644,-2.8181,-1.27515,-2.52512
21:35.3,-2.66803,-2.76766,-3.03644,-2.8181,-1.24681,-2.49796
20:42.6,-2.71934,-2.76766,-3.0027,-2.73271,-1.21848,-2.41651
19:50.4,-2.79631,-2.8405,-3.07018,-2.9035,-1.24681,-2.55227
19:00.5,-2.79631,-2.8405,-3.03644,-2.9035,-1.33182,-2.52512
18:07.9,-2.79631,-2.91333,-3.13765,-2.9035,-1.3885,-2.57942
17:15.2,-2.87327,-2.98616,-3.17139,-2.9035,-1.50184,-2.60657
15:42.4,-2.97589,-3.13183,-3.23887,-2.9889,-1.53018,-2.76948
14:39.1,-3.00154,-3.13183,-3.30634,-2.9889,-1.64353,-2.87809
13:46.0,-2.95023,-3.05899,-3.30634,-2.9889,-1.58685,-2.85094
12:52.5,-3.00154,-3.05899,-3.2726,-2.9889,-1.55852,-2.85094
11:59.1,-2.97589,-2.98616,-3.30634,-2.9889,-1.53018,-2.79663
11:07.7,-2.82196,-3.05899,-3.2726,-2.9889,-1.53018,-2.76948
10:14.1,-2.82196,-2.91333,-3.23887,-2.9889,-1.44517,-2.76948
09:19.7,-2.92458,-2.8405,-3.17139,-2.9035,-1.33182,-2.63372
08:28.1,-2.87327,-2.98616,-3.2726,-2.9889,-1.41683,-2.76948
07:38.6,-2.84761,-2.91333,-3.23887,-2.9889,-1.36016,-2.57942
06:46.5,-2.89892,-2.91333,-3.2726,-2.9889,-1.3885,-2.68803
05:52.2,-3.12981,-3.20466,-3.4413,-3.24509,-1.44517,-3.01385
04:46.5,-3.0785,-3.13183,-3.34008,-3.24509,-1.3885,-3.01385
02:35.3,-3.18112,-3.20466,-3.40756,-3.24509,-1.55852,-3.0953
59:39.4,-3.33504,-3.27749,-3.54251,-3.33049,-1.61519,-3.17676
56:59.7,-3.20677,-2.98616,-3.40756,-3.0743,-1.3885,-3.01385
54:06.2,-3.51462,-3.27749,-3.60999,-3.33049,-1.67186,-3.20391
51:20.0,-3.33504,-3.35033,-3.67746,-3.33049,-1.7002,-3.28537
48:35.8,-3.00154,-3.05899,-3.37382,-3.0743,-1.44517,-2.90524
45:54.1,-3.0785,-2.91333,-3.37382,-3.0743,-1.44517,-2.82378
43:35.5,-3.10416,-3.05899,-3.47503,-2.9889,-1.50184,-2.95954
41:28.9,-3.25808,-3.20466,-3.47503,-3.0743,-1.58685,-2.90524
39:25.7,-3.33504,-3.42316,-3.64372,-3.33049,-1.78521,-3.12245
37:33.3,-3.30939,-3.35033,-3.64372,-3.33049,-1.84188,-3.17676
36:14.8,-3.10416,-3.05899,-3.37382,-2.9889,-1.55852,-2.87809
34:52.5,-3.10416,-3.05899,-3.37382,-2.9889,-1.55852,-2.87809
33:44.4,-3.20677,-3.13183,-3.37382,-3.0743,-1.7002,-2.90524
32:48.6,-3.20677,-3.13183,-3.37382,-3.0743,-1.7002,-2.95954
31:44.4,-2.97589,-2.98616,-3.2726,-2.9889,-1.53018,-2.71518
30:53.6,-2.92458,-2.98616,-3.23887,-2.8181,-1.58685,-2.76948
30:00.9,-2.79631,-2.98616,-3.17139,-2.8181,-1.55852,-2.71518
28:49.9,-2.79631,-3.05899,-3.17139,-2.9035,-1.55852,-2.68803
28:01.5,-2.69369,-2.8405,-3.0027,-2.73271,-1.27515,-2.3622
27:14.3,-2.745,-3.05899,-3.0027,-2.8181,-1.27515,-2.38936
26:25.6,-2.71934,-2.98616,-3.0027,-2.8181,-1.33182,-2.47081
25:36.3,-2.745,-2.98616,-3.0027,-2.73271,-1.33182,-2.47081
24:49.3,-2.745,-2.98616,-3.0027,-2.73271,-1.33182,-2.47081
23:59.5,-2.64238,-2.91333,-2.93522,-2.73271,-1.36016,-2.41651
23:10.7,-2.64238,-2.76766,-2.90148,-2.64731,-1.33182,-2.38936
22:20.5,-2.53976,-2.69483,-2.86775,-2.56191,-1.30349,-2.33505
21:33.6,-2.53976,-2.69483,-2.86775,-2.56191,-1.30349,-2.33505
20:40.8,-2.4628,-2.47633,-2.69906,-2.47652,-1.21848,-2.17214
19:49.7,-2.4628,-2.47633,-2.69906,-2.47652,-1.21848,-2.17214
19:00.4,-2.43715,-2.4035,-2.59784,-2.47652,-1.13347,-2.11784
18:10.1,-2.51411,-2.4035,-2.69906,-2.47652,-1.19014,-2.14499
17:11.6,-2.51411,-2.54916,-2.69906,-2.47652,-1.21848,-2.22645
15:12.0,-2.43715,-2.4035,-2.5641,-2.39112,-1.10513,-2.14499
14:24.3,-2.38584,-2.4035,-2.66532,-2.39112,-1.02012,-2.22645
13:37.5,-2.36018,-2.4035,-2.63158,-2.30572,-0.93511,-2.17214
12:46.9,-2.30888,-2.47633,-2.63158,-2.30572,-0.90677,-2.17214
11:56.5,-2.30888,-2.47633,-2.66532,-2.39112,-0.99178,-2.2536
11:09.6,-2.36018,-2.47633,-2.66532,-2.39112,-0.93511,-2.17214
10:21.6,-2.36018,-2.47633,-2.66532,-2.47652,-0.93511,-2.17214
09:32.6,-2.36018,-2.54916,-2.66532,-2.47652,-0.96345,-2.19929
08:43.9,-2.36018,-2.4035,-2.5641,-2.39112,-0.8501,-2.19929
07:56.3,-2.36018,-2.4035,-2.5641,-2.39112,-0.87844,-2.09069
07:05.7,-2.30888,-2.4035,-2.53036,-2.30572,-0.87844,-2.03638
06:16.4,-2.30888,-2.33066,-2.53036,-2.30572,-0.87844,-2.09069
05:28.8,-2.36018,-2.33066,-2.53036,-2.30572,-0.87844,-2.03638
04:38.9,-2.43715,-2.47633,-2.66532,-2.64731,-0.99178,-2.11784
03:48.8,-2.51411,-2.54916,-2.66532,-2.64731,-1.07679,-2.14499
02:59.2,-2.59107,-2.76766,-2.73279,-2.73271,-1.1618,-2.17214
02:11.9,-2.59107,-2.76766,-2.73279,-2.73271,-1.1618,-2.17214
01:18.4,-2.66803,-2.76766,-2.76653,-2.73271,-1.13347,-2.2536
00:24.5,-2.69369,-2.69483,-2.80027,-2.8181,-1.1618,-2.33505
59:34.8,-2.69369,-2.69483,-2.83401,-2.8181,-1.1618,-2.3622
58:43.1,-2.69369,-2.69483,-2.86775,-2.8181,-1.1618,-2.41651
57:51.1,-2.69369,-2.622,-2.83401,-2.8181,-1.13347,-2.41651
56:56.3,-2.69369,-2.622,-2.80027,-2.8181,-1.13347,-2.38936
56:05.6,-2.82196,-2.622,-2.80027,-2.9035,-1.1618,-2.41651
55:14.8,-2.82196,-2.69483,-2.90148,-2.9889,-1.19014,-2.49796
54:21.0,-2.71934,-2.69483,-2.83401,-2.9889,-1.19014,-2.49796
53:26.0,-2.69369,-2.622,-2.76653,-2.9035,-1.1618,-2.38936
52:38.3,-2.745,-2.69483,-2.80027,-2.9035,-1.21848,-2.47081
51:49.2,-2.71934,-2.69483,-2.76653,-2.9035,-1.19014,-2.44366
50:58.2,-2.69369,-2.69483,-2.76653,-2.9035,-1.21848,-2.47081
50:09.4,-2.69369,-2.622,-2.69906,-2.73271,-1.19014,-2.38936
49:21.0,-2.71934,-2.76766,-2.76653,-2.73271,-1.21848,-2.47081
48:29.9,-2.69369,-2.69483,-2.73279,-2.73271,-1.10513,-2.3622
47:39.7,-2.69369,-2.54916,-2.69906,-2.73271,-1.10513,-2.28075
46:53.0,-2.77065,-2.54916,-2.80027,-2.73271,-1.19014,-2.33505
46:02.5,-2.87327,-2.8405,-2.93522,-2.8181,-1.3885,-2.52512
45:13.3,-2.92458,-2.8405,-2.93522,-2.8181,-1.41683,-2.52512
44:25.9,-2.87327,-2.69483,-2.90148,-2.8181,-1.33182,-2.55227
43:37.2,-3.02719,-2.76766,-2.93522,-2.8181,-1.44517,-2.57942
42:45.8,-2.97589,-2.8405,-2.96896,-2.8181,-1.47351,-2.66087
41:54.3,-2.95023,-2.8405,-2.86775,-2.73271,-1.33182,-2.60657
41:06.1,-2.95023,-2.69483,-2.86775,-2.73271,-1.33182,-2.52512
40:15.8,-2.79631,-2.54916,-2.73279,-2.64731,-1.19014,-2.3079
39:24.6,-2.79631,-2.47633,-2.69906,-2.73271,-1.19014,-2.19929
38:31.3,-2.82196,-2.54916,-2.76653,-2.8181,-1.30349,-2.3079
37:42.2,-2.82196,-2.54916,-2.80027,-2.73271,-1.30349,-2.3622
36:52.7,-2.82196,-2.47633,-2.76653,-2.64731,-1.30349,-2.41651
36:00.8,-2.77065,-2.54916,-2.80027,-2.64731,-1.19014,-2.44366
35:08.1,-2.745,-2.4035,-2.69906,-2.64731,-1.19014,-2.33505
34:19.0,-2.77065,-2.4035,-2.63158,-2.56191,-1.19014,-2.2536
33:27.8,-2.77065,-2.4035,-2.66532,-2.56191,-1.1618,-2.3079
32:34.2,-2.64238,-2.25783,-2.46289,-2.30572,-0.99178,-2.11784
31:41.1,-2.56542,-2.11216,-2.39541,-2.22032,-0.87844,-1.95493
30:53.4,-2.53976,-2.03933,-2.32794,-2.13493,-0.82176,-1.87347
30:02.1,-2.53976,-2.11216,-2.32794,-2.13493,-0.82176,-1.90062
29:09.4,-2.56542,-2.03933,-2.32794,-2.22032,-0.82176,-1.87347
28:16.9,-2.56542,-2.03933,-2.32794,-2.22032,-0.82176,-1.81917
27:25.1,-2.56542,-2.11216,-2.42915,-2.30572,-0.8501,-1.92778
26:30.3,-2.59107,-2.11216,-2.46289,-2.30572,-0.87844,-2.00923
25:34.1,-2.59107,-2.11216,-2.42915,-2.30572,-0.8501,-2.03638
24:37.1,-2.53976,-2.03933,-2.39541,-2.39112,-0.76509,-1.79202
23:47.0,-2.53976,-2.11216,-2.39541,-2.39112,-0.79343,-1.81917
22:56.3,-2.53976,-2.25783,-2.49663,-2.39112,-0.82176,-2.00923
22:01.6,-2.53976,-1.9665,-2.39541,-2.30572,-0.70842,-1.84632
21:06.6,-2.51411,-2.11216,-2.39541,-2.30572,-0.70842,-1.87347
20:17.9,-2.53976,-2.185,-2.36167,-2.30572,-0.70842,-1.92778
19:27.6,-2.48846,-2.25783,-2.42915,-2.30572,-0.73675,-1.98208
18:33.4,-2.48846,-2.11216,-2.42915,-2.22032,-0.73675,-1.98208
17:40.7,-2.43715,-2.03933,-2.42915,-2.22032,-0.73675,-1.98208
16:51.2,-2.43715,-2.03933,-2.42915,-2.22032,-0.73675,-1.98208
15:00.8,-2.61673,-2.03933,-2.42915,-2.30572,-0.79343,-1.92778
14:07.5,-2.61673,-2.11216,-2.5641,-2.22032,-0.8501,-2.14499
12:59.9,-2.61673,-1.9665,-2.46289,-2.22032,-0.79343,-2.03638
10:51.7,-2.51411,-1.9665,-2.42915,-2.22032,-0.76509,-1.92778
08:34.6,-2.61673,-2.185,-2.69906,-2.47652,-0.90677,-2.3622
06:28.7,-2.66803,-2.25783,-2.66532,-2.56191,-0.90677,-2.33505
04:12.1,-2.61673,-2.185,-2.69906,-2.56191,-0.99178,-2.38936
01:54.6,-2.77065,-2.33066,-2.73279,-2.64731,-0.99178,-2.3079
59:35.7,-2.82196,-2.4035,-2.83401,-2.73271,-1.10513,-2.44366
57:11.8,-2.82196,-2.4035,-2.73279,-2.73271,-1.02012,-2.28075
55:02.2,-2.77065,-2.4035,-2.76653,-2.64731,-1.04846,-2.17214
52:47.9,-2.77065,-2.25783,-2.69906,-2.39112,-0.90677,-2.09069
50:30.8,-2.77065,-2.11216,-2.63158,-2.56191,-0.96345,-1.92778
48:38.8,-2.82196,-2.25783,-2.76653,-2.56191,-0.96345,-2.11784
46:38.9,-2.77065,-2.11216,-2.73279,-2.56191,-0.96345,-2.00923
44:16.6,-2.89892,-2.33066,-2.90148,-2.64731,-1.04846,-2.14499
41:59.0,-3.00154,-2.25783,-2.86775,-2.56191,-1.02012,-2.14499
40:06.3,-2.92458,-2.03933,-2.73279,-2.47652,-0.87844,-1.87347
38:18.4,-2.92458,-1.9665,-2.83401,-2.47652,-0.90677,-1.90062
36:33.5,-2.97589,-1.9665,-2.83401,-2.47652,-0.93511,-1.92778
35:03.2,-2.77065,-1.9665,-2.80027,-2.30572,-0.87844,-1.87347
33:43.9,-2.77065,-1.89366,-2.69906,-2.22032,-0.82176,-1.81917
32:24.3,-2.77065,-1.748,-2.49663,-2.22032,-0.70842,-1.60195
31:07.4,-2.77065,-1.82083,-2.49663,-2.30572,-0.73675,-1.54765
29:56.7,-2.77065,-1.82083,-2.5641,-2.30572,-0.82176,-1.62911
28:52.0,-2.82196,-1.748,-2.5641,-2.22032,-0.79343,-1.5748
27:52.5,-2.82196,-1.89366,-2.63158,-2.39112,-0.8501,-1.71056
26:47.3,-2.82196,-1.89366,-2.63158,-2.39112,-0.8501,-1.71056
25:48.2,-2.82196,-1.89366,-2.5641,-2.30572,-0.79343,-1.65626
24:53.1,-2.82196,-1.82083,-2.5641,-2.30572,-0.76509,-1.71056
23:52.3,-2.84761,-1.9665,-2.53036,-2.22032,-0.82176,-1.68341
23:03.0,-2.87327,-2.03933,-2.59784,-2.30572,-0.90677,-1.76487
22:16.4,-2.87327,-2.03933,-2.59784,-2.30572,-0.90677,-1.76487
